Year,Rank,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1960,1,Theme from A Summer Place,Percy Faith,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,audio_features,6zwvB879PJSpTyFcg2wwnL,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,142693,3
1960,2,He'll Have to Go,Jim Reeves,0.469,0.244,1,-15.702,1,0.0357,0.974,0.0162,0.845,0.577,88.271,audio_features,3VuQkz5106WmH1MC81OcBU,spotify:track:3VuQkz5106WmH1MC81OcBU,https://api.spotify.com/v1/tracks/3VuQkz5106WmH1MC81OcBU,https://api.spotify.com/v1/audio-analysis/3VuQkz5106WmH1MC81OcBU,134333,3
1960,3,Cathy's Clown,The Everly Brothers,0.499,0.701,7,-6.128,1,0.0355,0.472,0.0,0.263,0.88,120.24,audio_features,6wKXuvOQxG5Ui1Kv2F68E9,spotify:track:6wKXuvOQxG5Ui1Kv2F68E9,https://api.spotify.com/v1/tracks/6wKXuvOQxG5Ui1Kv2F68E9,https://api.spotify.com/v1/audio-analysis/6wKXuvOQxG5Ui1Kv2F68E9,145747,4
1960,4,Running Bear,Johnny Preston,0.76,0.468,5,-8.957,0,0.0482,0.775,2.36e-05,0.184,0.745,119.986,audio_features,1mE8QtaSFxEQnr3SgxmIRf,spotify:track:1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/tracks/1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/audio-analysis/1mE8QtaSFxEQnr3SgxmIRf,157960,4
1960,5,Teen Angel,Mark Dinning,0.506,0.095,0,-13.232,1,0.0494,0.728,0.0,0.293,0.404,97.26,audio_features,7aNVTsJFlnaUTEBO6fvWho,spotify:track:7aNVTsJFlnaUTEBO6fvWho,https://api.spotify.com/v1/tracks/7aNVTsJFlnaUTEBO6fvWho,https://api.spotify.com/v1/audio-analysis/7aNVTsJFlnaUTEBO6fvWho,161827,4
1960,6,I'm Sorry,Brenda Lee,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,audio_features,4nyF5lmSziBAt7ESAUjpbx,spotify:track:4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/tracks/4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/audio-analysis/4nyF5lmSziBAt7ESAUjpbx,167538,5
1960,7,It's Now or Never,Elvis Presley,0.37,0.346,4,-15.628,1,0.162,0.767,0.0136,0.164,0.429,143.201,audio_features,5kB4PT1l3saWMUbtWrrtv0,spotify:track:5kB4PT1l3saWMUbtWrrtv0,https://api.spotify.com/v1/tracks/5kB4PT1l3saWMUbtWrrtv0,https://api.spotify.com/v1/audio-analysis/5kB4PT1l3saWMUbtWrrtv0,268733,4
1960,8,Handy Man,Jimmy Jones,0.477,0.781,10,-6.931,1,0.0654,0.4,0.0,0.331,0.75,144.976,audio_features,63l4KCU2ZpXodzDzuHtyu4,spotify:track:63l4KCU2ZpXodzDzuHtyu4,https://api.spotify.com/v1/tracks/63l4KCU2ZpXodzDzuHtyu4,https://api.spotify.com/v1/audio-analysis/63l4KCU2ZpXodzDzuHtyu4,124120,4
1960,9,Stuck on You,Elvis Presley,0.649,0.678,7,-7.389,1,0.0463,0.775,0.000634,0.129,0.96,131.719,audio_features,7bA1DHtoJAvqyL42gHwOLa,spotify:track:7bA1DHtoJAvqyL42gHwOLa,https://api.spotify.com/v1/tracks/7bA1DHtoJAvqyL42gHwOLa,https://api.spotify.com/v1/audio-analysis/7bA1DHtoJAvqyL42gHwOLa,138827,4
1960,10,The Twist,Chubby Checker,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/tracks/4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/audio-analysis/4YCnTYbq3oL1Lqpyxg33CU,155040,4
1960,11,Everybody's Somebody's Fool,Connie Francis,0.584,0.737,1,-4.643,1,0.0306,0.745,1.93e-05,0.208,0.753,84.322,audio_features,1qC8zQRrdkZCwzQ5N4ECoD,spotify:track:1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/tracks/1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/audio-analysis/1qC8zQRrdkZCwzQ5N4ECoD,157880,4
1960,12,Wild One,Bobby Rydell,0.597,0.777,7,-4.722,1,0.0429,0.706,1.5e-06,0.069,0.893,148.62,audio_features,6OJZM84zgpRxRYtBk979xG,spotify:track:6OJZM84zgpRxRYtBk979xG,https://api.spotify.com/v1/tracks/6OJZM84zgpRxRYtBk979xG,https://api.spotify.com/v1/audio-analysis/6OJZM84zgpRxRYtBk979xG,141093,4
1960,13,Greenfields,The Brothers Four,0.466,0.125,11,-20.428,0,0.0372,0.863,0.0,0.121,0.338,111.43,audio_features,7LAsDdinXejDwodvelVVTa,spotify:track:7LAsDdinXejDwodvelVVTa,https://api.spotify.com/v1/tracks/7LAsDdinXejDwodvelVVTa,https://api.spotify.com/v1/audio-analysis/7LAsDdinXejDwodvelVVTa,182027,1
